Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,Taker Buy Base Asset Volume,Taker Buy Quote Asset Volume,Ignore
1761201000000.0,109834.7,110000.0,109739.4,109743.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761201300000.0,109743.7,109940.5,109721.7,109862.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761201600000.0,109862.6,110066.3,109843.0,109969.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761201900000.0,109969.3,110178.2,109969.3,110043.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761202200000.0,110043.7,110268.1,109988.7,110081.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761202500000.0,110081.4,110213.1,109982.9,110196.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761202800000.0,110196.8,110225.5,109879.3,109949.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761203100000.0,109949.4,110070.4,109910.4,109932.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761203400000.0,109932.0,109940.7,109727.7,109766.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761203700000.0,109766.9,109853.4,109698.9,109725.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761204000000.0,109725.7,109795.5,109337.8,109398.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761204300000.0,109398.7,109532.7,109369.3,109501.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761204600000.0,109501.1,109578.1,109404.2,109442.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761204900000.0,109442.8,109459.7,109229.0,109254.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761205200000.0,109254.6,109424.0,109161.0,109379.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761205500000.0,109379.1,109511.2,109379.1,109421.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761205800000.0,109421.4,109427.2,109230.2,109242.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761206100000.0,109242.3,109310.2,109182.3,109235.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761206400000.0,109235.8,109528.8,109210.5,109484.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761206700000.0,109484.9,109695.1,109452.6,109616.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761207000000.0,109616.3,109745.6,109613.9,109685.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761207300000.0,109685.5,109876.1,109623.8,109760.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761207600000.0,109760.7,109848.5,109640.9,109701.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761207900000.0,109701.5,109771.1,109602.9,109742.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761208200000.0,109742.6,109768.5,109673.1,109718.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761208500000.0,109718.9,109720.5,109406.7,109526.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761208800000.0,109526.0,109571.8,109459.0,109539.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761209100000.0,109539.0,109658.8,109539.0,109653.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761209400000.0,109653.6,109673.6,109498.2,109502.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761209700000.0,109502.4,109502.8,109344.8,109457.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761210000000.0,109457.1,109500.8,109313.0,109313.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761210300000.0,109313.1,109399.7,109212.4,109338.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761210600000.0,109338.2,109341.9,109075.5,109097.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761210900000.0,109097.5,109292.6,109081.7,109258.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761211200000.0,109258.7,109320.9,109205.3,109305.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761211500000.0,109305.3,109394.8,109299.3,109384.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761211800000.0,109384.0,109404.8,109321.2,109386.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761212100000.0,109386.6,109400.9,109305.1,109309.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761212400000.0,109309.6,109366.2,109288.7,109326.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761212700000.0,109326.4,109337.8,109253.8,109263.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761213000000.0,109263.2,109397.0,109260.3,109372.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761213300000.0,109372.0,109457.4,109323.3,109397.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761213600000.0,109397.3,109530.3,109389.4,109458.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761213900000.0,109458.3,109520.7,109359.2,109463.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761214200000.0,109463.6,109560.4,109409.9,109557.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761214500000.0,109557.5,109680.0,109519.8,109635.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761214800000.0,109635.7,109641.6,109513.5,109517.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761215100000.0,109517.3,109544.8,109473.7,109473.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761215400000.0,109473.8,109509.8,109406.3,109494.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761215700000.0,109494.4,109540.6,109373.1,109465.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761216000000.0,109465.3,109487.8,109336.5,109413.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761216300000.0,109413.4,109487.1,109374.6,109478.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761216600000.0,109478.5,109583.1,109446.6,109447.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761216900000.0,109447.6,109477.9,109403.8,109411.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761217200000.0,109411.9,109470.9,109367.2,109438.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761217500000.0,109438.2,109483.0,109348.9,109427.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761217800000.0,109427.8,109468.5,109335.9,109378.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761218100000.0,109378.6,109411.0,109252.5,109353.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761218400000.0,109353.5,109547.4,109330.1,109518.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761218700000.0,109518.3,109600.0,109462.7,109501.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761219000000.0,109501.9,109532.0,109227.6,109247.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761219300000.0,109247.7,109373.3,109107.0,109343.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761219600000.0,109343.3,109346.3,109154.6,109205.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761219900000.0,109205.2,109281.0,109157.7,109270.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761220200000.0,109270.8,109310.0,109120.9,109167.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761220500000.0,109167.5,109279.3,109161.8,109235.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761220800000.0,109235.7,109241.8,108695.8,108703.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761221100000.0,108703.8,109049.2,108695.8,108937.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761221400000.0,108937.8,109049.0,108913.6,108916.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761221700000.0,108916.3,109086.9,108846.0,109016.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761222000000.0,109016.0,109206.3,108959.8,109064.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761222300000.0,109064.8,109142.9,109025.1,109092.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761222600000.0,109092.5,109093.1,108737.8,108934.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761222900000.0,108934.7,108963.8,108754.4,108920.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761223200000.0,108920.2,109058.7,108876.7,109052.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761223500000.0,109052.6,109183.0,109000.4,109104.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761223800000.0,109104.9,109168.1,108979.9,109067.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761224100000.0,109067.1,109154.3,109046.8,109139.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761224400000.0,109139.7,109211.3,108982.3,109035.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761224700000.0,109035.3,109038.1,108847.7,108863.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761225000000.0,108863.3,109068.3,108767.1,109067.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761225300000.0,109067.7,109096.7,108916.5,108958.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761225600000.0,108958.6,109012.4,108889.1,108974.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761225900000.0,108974.9,109142.9,108971.7,109122.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761226200000.0,109122.1,109356.4,108987.4,109303.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761226500000.0,109303.6,109604.1,109194.0,109550.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761226800000.0,109550.0,109557.2,109142.1,109348.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761227100000.0,109348.8,109539.5,109200.2,109486.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761227400000.0,109486.7,109598.2,109406.5,109545.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761227700000.0,109545.1,109600.0,109232.8,109480.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761228000000.0,109480.9,109529.5,109323.1,109445.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761228300000.0,109445.9,109462.5,109026.9,109146.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761228600000.0,109146.6,109191.0,108843.5,108897.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761228900000.0,108897.0,109055.3,108730.1,108787.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761229200000.0,108787.9,109327.5,108758.7,109299.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761229500000.0,109299.4,109471.8,109222.9,109301.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761229800000.0,109301.6,109582.5,109252.1,109582.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761230100000.0,109582.4,109814.0,109570.8,109664.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761230400000.0,109664.0,109691.7,109503.0,109540.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761230700000.0,109540.4,109713.4,109502.8,109637.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761231000000.0,109637.4,109641.1,109386.9,109402.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761231300000.0,109402.3,109575.0,109324.8,109568.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761231600000.0,109568.0,109640.5,109484.4,109495.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761231900000.0,109495.2,109889.6,109463.9,109889.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761232200000.0,109889.6,110063.9,109706.8,109839.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761232500000.0,109839.2,109905.0,109528.0,109635.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761232800000.0,109635.2,109652.2,109460.0,109618.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
